第一部	الْجُزْءُ الْأَوَّل
阿拉伯—伊斯兰文明	الْحَضَارَةُ الْعَرَبِيَّةُ الْإِسْلَامِيَّة
阿拉伯—伊斯兰文明	الْحَضَارَةُ الْعَرَبِيَّةُ الْإِسْلَامِيَّةُ
教义、功修、节日和礼俗	الْعَقَائِدُ وَالْعِبَادَاتُ وَالْأَعْيَادُ وَالْعَادَات
常用语	مُصْطَلَحَاتٌ شَائِعَةٌ
部分学者	بَعْضُ الْعُلَمَاءِ
忏悔；作讨白[中阿]	تَابَ يَتُوبُ تَوْبَةً
初夜的三分之一	ثُلُثُ الَّليْلِ الْأَوَّل
触摸或携带《古兰经》	مَسُّ الْمُصْحَفِ أَوْ حَمْلُهُ
传教，宣教	يَدْعُوا إِلَي الله، يَنْشُرُ الدِّينَ
大家来成功！	حَيَّ عَلَى الْفَلَاح!
大家来礼拜！	حَيَّ عَلَى الصَّلاةِ!
大众歇凉处、人行道和聊天处禁止大小便	النَّهْيُ عَنِ التَّبَوُّلِ وَالتَّبَرُّزِ فِي الظِّلِّ، وَطَرِيقِ النَّاسِ، وَأَمَاكِنِ جُلُوسِهِم
代价，报酬	أَجْرٌ ج أُجُورٌ، ثَوَابٌ
怠惰（dàiduò）	فرَّطَ يُفَرِّطُ تَفْرِيطًا
淡水，自来水	مَاءٌ عَذْبٌ
当然，天理，义务；瓦吉布[阿]	وَاجِبٌ ج وَاجِبَاتٌ (أَحَدُ الْأَحْكَامِ التَّكْلِيفِيَّة الشَّرْعِيَّة)
当然拜；萨拉特.瓦吉白[阿]	صَلَاةٌ وَاجِبَةٌ، الصَّلاةُ الْوَاجِبَة
低念	تِلَاوَةٌ (دُونَ الْجَهْرِ)
定时的义务	كِتَابًا مَوْقًوتًا
段落《古兰经》	حِزْبٌ ج أَحْزَابٌ (مِنَ الْقُرْآن الْكَرِيم، يَعْنِي: أَرْبَعَةُ أَرْبَاعٍ، أَوْ نِصْفُ جُزْءٍ)
恩典，特恩	نِعْمَةٌ خَاصَّةٌ، فَضْلٌ خَاصٌّ، مِنَّةٌ، مِنْحَةٌ
罚赎，罚金；卡法赖提[阿]，费迪亚	كَفَّارَةٌ ج كَفَّارَاتٌ (راجع مادة: فِدْيَةٌ ج فِدَاءٌ)
法学细则；分支，分科	فَرْعٌ ج فُرُوعٌ (فِي الْأَحْكَامِ الشَّرْعِيَّةِ)
凡是成年的穆斯林	كُلُّ مُسْلِمٍ بَالِغٍ
犯大罪	ارْتَكَبَ كَبِيرَةً، اقْتَرَفَ الْكَبَائِر
犯禁的行为；穆哈拉姆[阿]	مُحَرَّمٌ ج مُحَرَّمَاتٌ، الْأَفْعَالُ الْمُحَرَّمَةُ
非法的，不许的行为；哈拉姆[阿]	حَرَامٌ
非故意地‘de’	غَيْرُ عَامِدٍ ، بِلَا قَصْدٍ
非可憎的认可时间	وَقْتُ جَوَازٍ بِلَا كَرَاهَةٍ
非穆斯林，非信士，不信者	كَافِرٌ ج كَافِرُونَ وكَفَرَةٌ وكُفَّارٌ
废弃拜功者	تَارِكُ الصَّلَاةِ
封印《古兰经》，封经	خَتْمُ الْقُرْآنِ (قِرَاءَة القُرْآن كُلِّهِ)
奉主尊名，以安拉尊名	بِسْمِ اللهِ
好猜，善猜	حُسْنُ الظَّنِّ
坏小净或大净，破净；污秽	أَحْدَثَ يُحْدِثُ حَدَثًا (أَكْبَرَ أَو أَصْغَرَ، وَهُوَ: نَقْضُ الْوُضُوءِ بِالجِمَاعِ أَو بِإِخْرَاجِ رِيحٍ وَنَحْوِهِمَا)
欢水	مَذْيٌ
节（古兰经）；奇迹	آيَةٌ ج آيَاتٌ (مِنَ الْقُرْآن)؛ آيَةٌ (مُعْجِزَةٌ)
节日；尔德，伊德[阿]	عِيدٌ ج أَعْيَادٌ
节约用水	الِاقْتِصَادُ فِي الْمَاء
洁净，纯净	طَاهِرٌ، نَظِيفٌ
洁净的人	الْمُتَطَهِّرِين
谨慎起见	احْتَاطَ يَحْتَاطُ احْتِيَاطًا، زِيَادَةٌ فِي الْحِيْطَة
禁地，指：“麦加”	أَرْضٌ حَرَامٌ، أَرْضٌ مُحَرَّمَةٌ؛ مَكَّةَ الْمُكَرَّمَةَ
禁戒，不合法；太哈利木[阿]	مُحَرَّمٌ ج مُحَرَّمَاتٌ، التَّحْرِيمُ
禁止男人穿丝戴金	تَحْرِيمُ لِبْسُ الرِّجَالِ الْحَرِيرَ وَالذَّهَب
经期，月经期，例假	الْمَحِيضُ، فَتْرَةُ الْحَيْضِ
经期过后仍流血	اسْتِحَاضَةٌ (اسْتِمْرَارُ خُرُوجِ الدَّمِ مِنَ الْمَرْأَةِ بَعْدَ أَيَّامِ حَيْضِهَا الْمُعْتَادَة)
经期过后仍流血的女人	مُسْتَحَاضَةٌ (الْمَرْأَةُ الَّتِي اسْتَمَرّ نُزُولُ الدَّمِ عَلَيْهَا بَعْدَ انْقِضَاء فَتْرَةِ الْحَيْضِ الْمُعْتَادَة)
经训明文	النَّصُّ الشَّرْعِيُّ (قُرْآنٌ وَحَدِيثٌ)
精液，麦尼[阿]	مَنِيٌّ
净礼，清洁；塔哈勒[阿]	الطَّهَارَةُ
敬道色兰，说色兰[中阿]	سَلَّمَ يُسَلِّمُ تَسْلِيمًا، أَلْقَى التَّحِيَّة
敬畏；泰格瓦[阿]	التَّقْوَى، اتَّقَى يَتَّقِي تَقْوَى التَّقْوَى
卷《古兰经》	جُزْءٌ ج أَجْزَاءٌ (مِنَ الْقُرْآن)
绝对义务，个人主命	فَرْضُ عَيْنٍ، فَرْضُ الْأَعْيَانِ (مَا أَوْجَبَهُ اللهُ عَلَى كُلِّ وَاحدٍ، وَلا يَسْقُطُ عَنْهُ بِفِعْلِ غَيْرِهِ لَه)
可恶的异端	بِدْعَةٌ مُنْكَرَةٌ، مُحْدَثٌ مُنْكَرٌ
可佳的	اسْتِحْبَابُ، مُسْتَحَبٌّ(مِنَ الْأَفْعَال وَالْأَقْوَال)
可嘉的	مُسْتَحَبٌّ (مِنَ الْأَفْعَال وَالْأَقْوَال)
可嘉的行为或言语；曼杜卜[阿]	مَنْدُوبٌ (مِنَ الْأَفْعَال وَالْأَقْوَال)
可憎恶的；麦克鲁赫[阿]	مَكْرُوهٌ (مِنَ الْأَفْعَالِ وَالْأَقْوَال)
乐园，天堂，天园[基]；达尔·色兰[阿]（天堂之名）	دَارُ السَّلَامِ (اسْمٌ مِنْ أَسْمَاءِ الْجَنَّة)
理智和宗教的欠缺	نَاقِصَاتُ عَقْلٍ وَدِينٍ أو نَاقِصُ
理智健全，理性健全（教法受责条件之一）	الْعَقْلُ (أحَدُ شُرُوطُ التَّكْلِيفِ الشَّرْعِيَّةِ)
立意，举义；乜提[阿]	نِيَّةٌ ج نِيَّاتٌ و نَوَايا
列圣的惯礼；天性	سُنَنُ الْفِطْرَةِ
凌辱的刑罚	عَذَابٌ مُهِينٌ
聆听	أَنْصَتَ يُنْصِتُ إنْصَاتًا
论断	حُكْمٌ ج أَحْكَامٌ (شَرْعِيٌّ)
律例，教律；胡克木[阿]	حُكْمٌ ج أَحْكَامٌ(الْقَوْلُ بِالْحِلِّ وَالْحُرْمَةِ وَنَحْوِهِمَا)
梦遗	الِاحْتِلَامُ
